Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
5/15/2026,"2.564,65","2.570,02","2.571,03","2.564,03",,"-0,36%"
5/18/2026,"2.594,76","2.562,82","2.596,90","2.561,49",,"1,17%"
5/19/2026,"2.597,23","2.594,91","2.608,63","2.594,89",,"0,10%"
5/20/2026,"2.588,46","2.597,42","2.607,69","2.586,18",,"-0,34%"
5/21/2026,"2.593,65","2.590,06","2.606,50","2.590,04",,"0,20%"
5/22/2026,"2.604,22","2.594,87","2.609,64","2.594,28",,"0,41%"
5/25/2026,"2.614,13","2.608,05","2.618,01","2.607,26",,"0,38%"
5/26/2026,"2.619,93","2.613,61","2.623,55","2.612,43",,"0,22%"
5/27/2026,"2.622,79","2.621,59","2.623,06","2.620,57",,"0,11%"
5/28/2026,"2.622,48","2.623,45","2.623,47","2.619,48",,"-0,01%"
5/29/2026,"2.641,05","2.624,96","2.643,09","2.624,84",,"0,71%"
